Time,NodeID,NumIndividuals,NumInfected,AvgInfectiousness,AvgParasiteDensity,AvgGametocyteDensity,AvgVariantFractionPfEMP1Major,AvgNumInfections,AvgInfectionClearedDuration,NumInfectionsCleared,NumHasFever,NumHasClinicalSymptoms
218,94,3,0,0,0,0,0,0,0,0,0,0
218,93,4,0,0,0,0,0,0,0,0,0,0
218,92,1,0,0,0,0,0,0,0,0,0,0
218,91,12,0,0,0,0,0,0,0,0,0,0
218,90,0,0,0,0,0,0,0,0,0,0,0
218,89,0,0,0,0,0,0,0,0,0,0,0
218,88,0,0,0,0,0,0,0,0,0,0,0
218,87,0,0,0,0,0,0,0,0,0,0,0
218,86,5,0,0,0,0,0,0,0,0,0,0
218,85,5,0,0,0,0,0,0,0,0,0,0
218,84,5,0,0,0,0,0,0,0,0,0,0
218,83,1,0,0,0,0,0,0,0,0,0,0
218,82,1,0,0,0,0,0,0,0,0,0,0
218,81,14,0,0,0,0,0,0,0,0,0,0
218,80,0,0,0,0,0,0,0,0,0,0,0
218,79,0,0,0,0,0,0,0,0,0,0,0
218,78,0,0,0,0,0,0,0,0,0,0,0
218,77,0,0,0,0,0,0,0,0,0,0,0
218,76,3,0,0,0,0,0,0,0,0,0,0
218,75,4,4,0,56883.7,0,0.0166667,1,0,0,4,4
218,74,5,1,0,13724.8,0,0.00333333,1,0,0,1,1
218,73,5,0,0,0,0,0,0,0,0,0,0
218,72,0,0,0,0,0,0,0,0,0,0,0
218,71,13,0,0,0,0,0,0,0,0,0,0
218,70,0,0,0,0,0,0,0,0,0,0,0
218,69,0,0,0,0,0,0,0,0,0,0,0
218,68,0,0,0,0,0,0,0,0,0,0,0
218,67,0,0,0,0,0,0,0,0,0,0,0
218,66,0,0,0,0,0,0,0,0,0,0,0
218,65,5,0,0,0,0,0,0,0,0,0,0
218,64,5,0,0,0,0,0,0,0,0,0,0
218,63,3,0,0,0,0,0,0,0,0,0,0
218,62,1,0,0,0,0,0,0,0,0,0,0
218,61,12,0,0,0,0,0,0,0,0,0,0
218,60,11,0,0,0,0,0,0,0,0,0,0
218,59,13,0,0,0,0,0,0,0,0,0,0
218,58,13,0,0,0,0,0,0,0,0,0,0
218,57,13,0,0,0,0,0,0,0,0,0,0
218,56,0,0,0,0,0,0,0,0,0,0,0
218,55,0,0,0,0,0,0,0,0,0,0,0
218,54,0,0,0,0,0,0,0,0,0,0,0
218,53,0,0,0,0,0,0,0,0,0,0,0
218,52,0,0,0,0,0,0,0,0,0,0,0
218,51,0,0,0,0,0,0,0,0,0,0,0
218,50,5,0,0,0,0,0,0,0,0,0,0
218,49,2,0,0,0,0,0,0,0,0,0,0
218,48,4,0,0,0,0,0,0,0,0,0,0
218,47,13,0,0,0,0,0,0,0,0,0,0
218,46,0,0,0,0,0,0,0,0,0,0,0
218,45,0,0,0,0,0,0,0,0,0,0,0
218,44,0,0,0,0,0,0,0,0,0,0,0
218,43,0,0,0,0,0,0,0,0,0,0,0
218,42,0,0,0,0,0,0,0,0,0,0,0
218,41,0,0,0,0,0,0,0,0,0,0,0
218,40,1,0,0,0,0,0,0,0,0,0,0
218,39,1,0,0,0,0,0,0,0,0,0,0
218,38,4,0,0,0,0,0,0,0,0,0,0
218,37,12,0,0,0,0,0,0,0,0,0,0
218,36,0,0,0,0,0,0,0,0,0,0,0
218,35,0,0,0,0,0,0,0,0,0,0,0
218,34,12,0,0,0,0,0,0,0,0,0,0
218,33,1,0,0,0,0,0,0,0,0,0,0
218,32,3,0,0,0,0,0,0,0,0,0,0
218,31,4,0,0,0,0,0,0,0,0,0,0
