Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
77,340461476,1008,29890,199,1726,27965,37832,51151,343376,1569600,784800,6079,52,1689,9,10167,0,2143,624,175,12432.8,3026.94,14139.4,0.0199891,0.0478319,0.0201664,61,55,6
78,340461476,1008,45954,245,1996,43713,54503,12934,333156,840680,420340,9812,12,3027,0,20115,0,2780,951,320,6515.52,3328.03,7370.89,0.0179966,0.0342259,0.0178907,12,13,-1
79,340461476,1008,39451,251,2793,36407,49492,15590,313452,1241920,620960,17962,48,5337,13,229,0,4365,1811,556,3514.12,3319.84,3980.12,0.0174735,0.0555042,0.018073,61,49,12
80,340461476,1009,37435,219,2699,34517,47033,17559,285195,1074560,537280,4259,44,1111,6,2260,0,3738,430,108,7893.67,3334.63,8516.84,0.00634273,0.0405056,0.00656873,50,48,2
81,340461476,1009,32853,246,2837,29770,42626,19630,273920,1794640,897320,8150,8,2418,4,0,0,3519,820,243,23467.9,4227.72,25906.9,0.0172758,0.0379799,0.0160744,12,8,4
82,340461476,1009,30495,256,3136,27103,40879,36202,278395,3226600,1613300,12017,46,3514,18,2353,0,3181,1143,387,9396.23,4498.8,10646.7,0.02888,0.0497379,0.0288805,64,56,8
83,340461476,1009,28426,382,2878,25166,38436,49802,255936,745160,372580,4451,33,1181,10,1449,0,2922,474,122,7752.04,3345.74,8397.26,0.0063946,0.0334235,0.0065615,43,48,-5
84,340461476,1009,27483,433,2909,24141,37539,50013,241191,1466960,733480,6495,25,1857,10,2621,0,2703,678,183,31096.6,4550.9,34994.6,0.02536,0.0389764,0.0237452,35,35,0
85,340461476,1009,24842,435,3103,21304,35241,44127,287346,2145960,1072980,9769,53,2888,15,1287,0,2674,992,262,30685.2,4780.01,34277.3,0.0473428,0.0536663,0.0482471,68,76,-8
86,340461476,1009,29641,512,2886,26243,39572,39464,314552,766040,383020,3800,68,1032,13,7711,0,2424,380,108,10424.1,4707.54,11472.9,0.0314784,0.0517093,0.0317759,81,77,4
