Time,Node_ID,Event_Name,Individual_ID,Age,Gender,Infected,Infectiousness,RelativeBitingRate,TrueParasiteDensity,TrueGametocyteDensity,HasClinicalSymptoms
30,7,PFA_NoPartnerFound,5062,9413.22,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,5069,6014.63,M,1,0,1,17955.2,0,T
30,7,PFA_NoPartnerFound,5104,6326.66,F,1,0,1,18297.8,0,T
30,7,PFA_NoPartnerFound,5139,420.766,F,1,0,1,18046.4,0,F
30,7,PFA_NoPartnerFound,5146,6037.21,M,1,0,1,17908.5,0,T
30,7,PFA_NoPartnerFound,5153,17870.1,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,5195,9003.52,F,1,0,1,14999.8,0,T
30,7,PFA_NoPartnerFound,5216,12600.1,F,1,0,1,16531.6,0,T
30,7,PFA_NoPartnerFound,5237,2684.88,M,1,0,1,25200.1,0,F
30,7,PFA_NoPartnerFound,5279,41126.9,M,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,5286,12130.4,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,5300,16391.3,F,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,5314,4776.99,M,1,0,1,19845.6,0,T
30,7,PFA_NoPartnerFound,5321,2310.05,F,1,0,1,26655.7,0,F
30,7,PFA_NoPartnerFound,5328,6037.8,M,1,0,1,19735.3,0,T
30,7,PFA_NoPartnerFound,5349,5085.73,F,1,0,1,21043.4,0,T
30,7,PFA_NoPartnerFound,5356,34027.7,F,1,0,1,18149.7,0,T
30,7,PFA_NoPartnerFound,5363,24974.9,F,1,0,1,16531.5,0,T
30,7,PFA_NoPartnerFound,5370,2433.9,F,1,0,1,25886.1,0,F
30,7,PFA_NoPartnerFound,5384,4043.04,M,1,0,1,20879.6,0,T
30,7,PFA_NoPartnerFound,5398,2526.31,F,1,0,1,25788.9,0,F
30,7,PFA_NoPartnerFound,5447,3620.75,M,1,0,1,19722.1,0,F
30,7,PFA_NoPartnerFound,5454,238.138,M,1,0,1,26153.4,0,F
30,7,PFA_NoPartnerFound,5468,4901.25,M,1,0,1,19506.4,0,T
30,7,PFA_NoPartnerFound,5489,11911.2,F,1,0,1,18149.6,0,T
30,7,PFA_NoPartnerFound,5496,8856.16,M,1,0,1,18149.8,0,T
30,7,PFA_NoPartnerFound,5503,7529.22,M,1,0,1,16531.5,0,T
