Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
4,14,0,46,0,0,46,59,0,5776,1400,700,0,0,0,0,0,0,5,0,0,2805.66,90.8989,180.407,1,0.061839,0.285446,0,0,0
4,13,10,78,0,0,78,79,0,6251,4000,2000,21,0,4,0,0,0,11,0,0,2327.66,86.8989,187.407,1,0.0905746,0.105792,0,0,0
4,12,15,81,0,0,81,79,0,5957,4600,2300,25,0,4,0,0,0,5,0,0,2612.66,100.899,182.407,1,0.0509842,0.123762,0,0,0
4,11,10,101,0,0,101,103,0,6975,6400,3200,28,0,7,0,0,0,8,0,0,1593.66,97.8989,186.407,0.94588,0.0682676,0.0783034,0,0,0
4,10,9,39,0,0,39,37,0,3319,2200,1100,11,0,2,0,0,0,6,0,0,5242.66,114.899,176.407,1,0.228937,0.179267,0,0,0
4,9,9,40,0,0,40,50,0,5377,2600,1300,11,0,1,0,0,0,12,0,0,3232.66,76.8989,166.407,1,0.106575,0.201584,0,0,0
4,8,9,70,0,0,70,51,0,5933,3600,1800,15,0,1,0,0,0,6,0,0,2616.66,112.899,190.407,1,0.0915746,0.0705761,0,0,0
4,7,0,67,0,0,67,57,0,6245,2400,1200,0,0,0,0,0,0,7,0,0,2349.66,103.899,154.407,1,0.104575,0.147267,0,0,0
4,6,13,58,0,0,58,59,0,6451,3600,1800,15,0,4,0,0,0,7,0,0,2133.66,102.899,165.407,1,0.0414894,0.165223,0,0,0
4,5,15,31,0,0,31,32,0,4535,2000,1000,7,0,3,0,0,0,7,0,0,4047.66,97.8989,172.407,1,0.107575,0.262112,0,0,0
4,4,5,35,0,0,35,36,0,3752,2600,1300,12,0,1,0,0,0,4,0,0,4851.66,93.8989,155.407,1,0.0905746,0.133048,0,0,0
4,3,1,63,0,0,63,48,0,6731,4200,2100,18,0,4,0,0,0,10,0,0,1851.66,104.899,165.407,1,0.0913122,0.151267,0,0,0
4,2,8,48,0,0,48,61,0,4993,3400,1700,15,0,2,0,0,0,5,0,0,3590.66,86.8989,182.407,1,0.110718,0.101417,0,0,0
4,1,5,54,0,0,54,55,0,5857,4200,2100,19,0,2,0,0,0,6,0,0,2705.66,115.899,174.407,1,0.487873,0.128556,0,0,0
5,26,10,510,0,0,510,498,0,7976,96800,48400,400,0,66,0,0,0,67,0,0,1880.99,96.5099,167.11,1,0.0918989,0.0829121,0,0,0
5,25,1,52,0,0,52,39,0,6412,2000,1000,9,0,1,0,0,0,7,0,0,3391.99,117.51,199.11,1,0.0580618,0.12529,0,0,0
5,24,10,58,0,0,58,57,0,8241,4200,2100,20,0,5,0,0,0,11,0,0,1623.99,87.5099,168.11,0.966477,0.0777849,0.0643361,0,0,0
5,23,15,94,0,0,94,87,0,8200,5600,2800,31,0,0,0,0,0,12,0,0,1641.99,99.5099,179.11,0.81233,0.0488327,0.0751848,0,0,0
5,22,0,152,0,0,152,159,0,6640,2200,1100,0,0,0,0,0,0,16,0,0,3203.99,87.5099,189.11,1,0.224747,0.115254,0,0,0
5,21,0,160,0,0,160,161,0,6672,2200,1100,0,0,0,0,0,0,27,0,0,3068.99,195.51,184.11,1,1,0.136172,0,0,0
5,20,10,46,0,0,46,50,0,6459,3800,1900,17,0,3,0,0,0,5,0,0,3406.99,60.5099,194.11,1,0.0624368,0.0862033,0,0,0
5,19,10,56,0,0,56,59,0,6784,4000,2000,22,0,1,0,0,0,11,0,0,3052.99,119.51,164.11,1,0.0387079,0.0902259,0,0,0
5,18,0,71,0,0,71,88,0,7883,2000,1000,0,0,0,0,0,0,3,0,0,1931.99,97.5099,208.11,1,0.0549438,0.116504,0,0,0
5,17,5,133,0,0,133,119,0,8165,5000,2500,37,0,5,0,0,0,19,0,0,1666.99,114.51,174.11,0.614484,0.0482772,0.0619309,0,0,0
5,16,0,149,0,0,149,166,0,6561,3200,1600,0,0,0,0,0,0,19,0,0,3277.99,82.5099,199.11,1,0.0878989,0.488516,0,0,0
5,15,5,54,0,0,54,37,0,6846,4200,2100,18,0,6,0,0,0,10,0,0,2952.99,114.51,207.11,1,0.317247,0.144505,0,0,0
5,14,0,42,0,0,42,57,0,5863,2600,1300,0,0,0,0,0,0,5,0,0,3953.99,93.5099,210.11,1,0.227247,0.300678,0,0,0
5,13,10,61,0,0,61,74,0,6964,4000,2000,21,0,0,0,0,0,9,0,0,2888.99,98.5099,169.11,1,0.0543118,0.133862,0,0,0
5,12,15,75,0,0,75,72,0,6076,3600,1800,14,0,8,0,0,0,15,0,0,3767.99,96.5099,180.11,1,0.0840824,0.0608022,0,0,0
5,11,10,80,0,0,80,91,0,8191,5400,2700,21,0,7,0,0,0,15,0,0,1636.99,106.51,186.11,0.612946,0.0611868,0.0847303,0,0,0
5,10,10,28,0,0,28,38,0,4068,1600,800,6,0,2,0,0,0,6,0,0,5757.99,101.51,193.11,1,0.143624,0.294011,0,0,0
5,9,10,34,0,0,34,38,0,5887,3200,1600,13,0,5,0,0,0,6,0,0,3936.99,108.51,188.11,1,0.0640824,0.277344,0,0,0
5,8,10,64,0,0,64,43,0,6289,4800,2400,21,0,5,0,0,0,6,0,0,3557.99,81.5099,192.11,1,0.0806421,0.119004,0,0,0
5,7,0,61,0,0,61,49,0,6911,3800,1900,0,0,0,0,0,0,11,0,0,2906.99,108.51,194.11,1,0.173165,0.193008,0,0,0
5,6,11,62,0,0,62,54,0,7064,3800,1900,16,0,4,0,0,0,6,0,0,2761.99,80.5099,214.11,1,0.0857491,0.118148,0,0,0
5,5,15,31,0,0,31,30,0,5186,2200,1100,8,0,3,0,0,0,1,0,0,4641.99,107.51,185.11,1,0.489494,0.172407,0,0,0
5,4,4,36,0,0,36,31,0,4011,2000,1000,7,0,3,0,0,0,7,0,0,5812.99,104.51,192.11,1,0.117374,0.111005,0,0,0
5,3,1,54,0,0,54,45,0,7403,4200,2100,18,0,2,0,0,0,7,0,0,2448.99,88.5099,180.11,1,0.0582772,0.118148,0,0,0
