Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
107,2044,2276.54,0,F,1,1,78,0,0,29.7,375,1,1,0,0,0,3,1,0,0,0,0,82,0,1,27.4032,258,1,1,0,0,0,3,1,0,0,0,0
108,2065,2899.08,1,F,1,1,50,0,0,44.8604,465,1,0,1,0,0,4,1,0,0,0,0,54,0,1,18.3823,0,1,0,1,0,0,1,1,0,0,0,0
109,2079,2923.74,0,F,1,1,52,0,0,28.9543,197,1,1,0,0,0,6,1,0,0,0,0,49,0,1,25.3885,382,1,1,0,0,0,4,1,0,0,0,0
110,2128,2340.98,0,F,1,1,56,0,0,32.8072,387,1,1,0,0,0,4,1,0,0,0,0,65,0,1,43.6085,412,1,1,0,0,0,4,1,0,0,0,0
111,2135,2369.69,0,F,1,1,21,0,0,31.0521,352,1,1,0,0,0,3,1,0,0,0,0,84,0,1,31.6016,319,1,1,0,0,0,4,1,0,0,0,0
112,2156,2331.35,0,F,1,1,81,0,0,37.3896,606,1,1,0,0,0,4,1,0,0,0,0,90,0,1,39.4931,304,1,1,0,0,0,4,1,0,0,0,0
113,2163,2662.24,0,F,1,1,4,0,0,37.0773,330,1,1,0,0,0,4,1,0,0,0,0,25,0,1,44.2334,632,1,1,0,0,0,2,1,0,0,0,0
114,2198,2385.24,0,F,1,1,12,0,0,38.9956,251,1,1,0,0,0,4,1,0,0,0,0,96,0,1,33.5573,298,1,1,0,0,0,5,1,0,0,0,0
115,2219,2232.53,0,F,1,1,97,0,0,33.7815,511,1,1,0,0,0,4,1,0,0,0,0,11,0,1,54.017,506,1,1,0,0,0,3,1,0,0,0,0
116,2233,9300.46,2,F,1,1,8,0,0,45.2011,237,1,0,0,1,0,3,1,0,0,0,0,46,0,1,49.1696,151,1,0,0,1,0,3,1,0,0,0,0
117,2261,2458.61,0,F,1,1,3,0,0,48.7994,72,1,1,0,0,0,3,1,0,0,0,0,95,0,1,20.1777,178,1,1,0,0,0,4,1,0,0,0,0
