Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
51,340461476,X-a1:X-a2,2543,0,0,2543,1975,21679,56875,0,0,0,0,0
51,340461476,X-a2:X-a1,2624,0,0,2624,2008,22131,57675,0,0,0,0,0
51,340461476,X-a2:X-a2,2590,0,0,2590,1932,21969,59175,0,0,0,0,0
52,340461476,X-a1:X-a1,2783,0,0,2783,1944,22267,59500,0,0,0,0,0
52,340461476,X-a1:X-a2,2632,0,0,2632,1918,21686,60600,0,0,0,0,0
52,340461476,X-a2:X-a1,2647,0,0,2647,2065,22011,61100,0,0,0,0,0
52,340461476,X-a2:X-a2,2563,0,0,2563,2043,22005,58400,0,0,0,0,0
53,340461476,X-a1:X-a1,2786,0,0,2786,2034,22333,63575,0,0,0,0,0
53,340461476,X-a1:X-a2,2633,0,0,2633,1932,21952,63275,0,0,0,0,0
53,340461476,X-a2:X-a1,2698,0,0,2698,2031,22192,59275,0,0,0,0,0
53,340461476,X-a2:X-a2,2663,0,0,2663,2032,22135,59475,0,0,0,0,0
54,340461476,X-a1:X-a1,2814,0,0,2814,2073,22469,61025,0,0,0,0,0
54,340461476,X-a1:X-a2,2684,0,0,2684,2000,22099,59925,0,0,0,0,0
54,340461476,X-a2:X-a1,2765,0,0,2765,1994,22192,63075,0,0,0,0,0
54,340461476,X-a2:X-a2,2654,0,0,2654,2043,22040,59975,0,0,0,0,0
55,340461476,X-a1:X-a1,2824,0,0,2824,2031,22625,63575,0,0,0,0,0
55,340461476,X-a1:X-a2,2700,0,0,2700,1968,22307,65675,0,0,0,0,0
55,340461476,X-a2:X-a1,2805,0,0,2805,2003,22450,64975,0,0,0,0,0
55,340461476,X-a2:X-a2,2717,0,0,2717,2108,22119,62375,0,0,0,0,0
56,340461476,X-a1:X-a1,2797,0,0,2797,2053,22495,65975,0,0,0,0,0
56,340461476,X-a1:X-a2,2672,0,0,2672,1978,22389,68075,0,0,0,0,0
56,340461476,X-a2:X-a1,2850,0,0,2850,2006,22466,63275,0,0,0,0,0
56,340461476,X-a2:X-a2,2789,0,0,2789,2082,22090,63675,0,0,0,0,0
57,340461476,X-a1:X-a1,2862,0,0,2862,2035,22553,63000,0,0,0,0,0
57,340461476,X-a1:X-a2,2740,0,0,2740,2019,22623,62000,0,0,0,0,0
57,340461476,X-a2:X-a1,2867,0,0,2867,1993,22708,65000,0,0,0,0,0
57,340461476,X-a2:X-a2,2810,0,0,2810,2099,22109,61600,0,0,0,0,0
58,340461476,X-a1:X-a1,2873,0,0,2873,2032,22601,63175,0,0,0,0,0
58,340461476,X-a1:X-a2,2780,0,0,2780,1963,22677,66075,0,0,0,0,0
58,340461476,X-a2:X-a1,2864,0,0,2864,2052,22848,66575,0,0,0,0,0
58,340461476,X-a2:X-a2,2822,0,0,2822,2109,22031,62775,0,0,0,0,0
59,340461476,X-a1:X-a1,2918,0,0,2918,2001,22582,68600,0,0,0,0,0
59,340461476,X-a1:X-a2,2747,0,0,2747,1980,22888,69750,0,0,0,0,0
59,340461476,X-a2:X-a1,2894,0,0,2894,2077,22904,66500,0,0,0,0,0
59,340461476,X-a2:X-a2,2935,0,0,2935,2011,22027,66050,0,0,0,0,0
60,340461476,X-a1:X-a1,2940,0,0,2940,2085,22626,64500,0,0,0,0,0
60,340461476,X-a1:X-a2,2754,0,0,2754,2007,23011,61750,0,0,0,0,0
60,340461476,X-a2:X-a1,2898,0,0,2898,2093,22853,67250,0,0,0,0,0
60,340461476,X-a2:X-a2,2946,0,0,2946,1999,22150,64800,0,0,0,0,0
61,340461476,X-a1:X-a1,2982,0,0,2982,2015,22575,66775,0,0,0,0,0
61,340461476,X-a1:X-a2,2751,0,0,2751,1963,22902,70625,0,0,0,0,0
61,340461476,X-a2:X-a1,2941,0,0,2941,2154,22934,65375,0,0,0,0,0
61,340461476,X-a2:X-a2,2918,0,0,2918,2124,22205,63925,0,0,0,0,0
62,340461476,X-a1:X-a1,2966,0,0,2966,1988,22729,68300,0,0,0,0,0
62,340461476,X-a1:X-a2,2737,0,0,2737,1981,23037,71800,0,0,0,0,0
62,340461476,X-a2:X-a1,2981,0,0,2981,2175,22817,67050,0,0,0,0,0
62,340461476,X-a2:X-a2,2946,0,0,2946,2114,22344,66850,0,0,0,0,0
63,340461476,X-a1:X-a1,2940,0,0,2940,2064,22863,66575,0,0,0,0,0
63,340461476,X-a1:X-a2,2763,0,0,2763,2070,23222,63825,0,0,0,0,0
63,340461476,X-a2:X-a1,3037,0,0,3037,2105,22938,67825,0,0,0,0,0
63,340461476,X-a2:X-a2,2968,0,0,2968,2079,22372,67175,0,0,0,0,0
64,340461476,X-a1:X-a1,3022,0,0,3022,2076,22907,68575,0,0,0,0,0
64,340461476,X-a1:X-a2,2799,0,0,2799,2063,23034,72425,0,0,0,0,0
64,340461476,X-a2:X-a1,3040,0,0,3040,2128,23054,67425,0,0,0,0,0
64,340461476,X-a2:X-a2,3003,0,0,3003,2116,22578,68375,0,0,0,0,0
65,340461476,X-a1:X-a1,3003,0,0,3003,2120,22873,70325,0,0,0,0,0
65,340461476,X-a1:X-a2,2810,0,0,2810,2056,23241,70825,0,0,0,0,0
65,340461476,X-a2:X-a1,3068,0,0,3068,2119,22993,69475,0,0,0,0,0
65,340461476,X-a2:X-a2,3039,0,0,3039,2100,22608,68075,0,0,0,0,0
66,340461476,X-a1:X-a1,2993,0,0,2993,2178,22909,66400,0,0,0,0,0
66,340461476,X-a1:X-a2,2856,0,0,2856,2088,23246,66150,0,0,0,0,0
