node_id,acquireTime,acquireIndividualId,acquireIndividualAgeDays,acquireIndividualHasFever,acquireInfectionIds,concurrentInfectionIds,vectorId,transmitTime,transmitIndividualId,transmitInfectionIds,transmitGametocyteDensities
1,214,36,1188.47,0,"1041","97,127,215,265,333,379,401,439,1013",179088,190,28,"61,99,177,193,410,313,329","1428.79,2034.85,677.093,211.902,214.393,0.0687265,0.0377177"
1,214,80,633.269,0,"1043","117,299,425,457,481,507,527,949,1025",152559,180,21,"50,124,188,224,322,354","1993.27,252.73,2.20836,1.12862,0.0109614,0.0115162"
1,214,78,7301.02,0,"1045","155,235,261,277,365,455,479,495,505",182726,193,84,"131,167,205,269,335","1842.6,2058.13,656.874,200.765,1.54806"
1,214,56,8275.25,0,"1047","45,143,159,197,263,279,301,309,327",170375,184,67,"42,52,100,192,230,246,344,376","1537.52,1516.2,817.099,181.714,342.194,23.0549,1.8859,0.171541"
1,214,98,9711.25,0,"1049","129,191,217,287,305,349,381,511,517",178792,190,50,"67,77,121,145,161,173,239,281,367","1118.31,1256.91,1223.78,1158.11,1580.69,295.83,59.6864,0.592831,0.0175393"
2,214,91,842.101,0,"1096","234,272,308,364,418,516,542,950",176071,187,73,"24,72,138,196,266,326,362,440,510","835.793,1112.31,727.262,732.89,55.2871,5.64547,8.78561,0.233578,0.00509325"
2,214,25,255.981,0,"1098","332,366,442,464,544,632,926,1044,1082",182695,193,7,"68,114,132,178,212,147,408,458,482,504","394.012,451.057,469.307,622.833,1108.79,860.093,101.181,117.544,3.02872,8.9452"
2,214,35,22470.2,0,"1100","64,172,204,274,310,336,444,490,518",186387,196,37,"30,74,106,202,334,368,420,488,580,590","67.4878,171.606,80.5174,175.185,1354.21,546.374,1332.76,629.482,1.08003,1.12144"
2,214,29,16300.9,0,"1102","174,276,312,422,446,546,592,1046,1084",186461,196,97,"20,62,104,142,306,330,392,416,514,564","60.4465,111.496,286.62,265.874,1275.89,892.094,140.1,792.943,2.92373,9.01594"
2,214,67,2111.01,0,"1104","192,230,246,344,376,524,550,1056,1088",173235,184,43,"108,130,176,240,314,340,372,450","2604.41,1629.98,826.01,124.037,2.38851,2.69992,0.203667,0.0128326"
2,214,27,569.151,0,"1106","290,498,966,984,1022,1062,1090",179713,193,51,"88,112,244,286,316,342,396,470,568","419.295,430.25,359.155,998.122,62.213,398.575,230.335,21.0989,3.60544"
2,214,57,1148.99,1,"1108","252,348,570,586,594,606,624,636,676",173593,190,7,"68,114,132,178,212,147,408,458,482,504","877.659,982.974,933.856,1062.81,1921.43,1115.28,68.9954,26.4989,0.0916694,1.27791"
2,214,19,15159.9,0,"1110","94,122,156,184,218,256,294,1026",176031,190,11,"26,58,268,304,328,390,462,484,540","506.889,809.663,549.714,366.7,92.5895,162.97,0.332142,0.754823,0.040878"
2,214,7,7207.66,0,"1112","114,178,212,408,458,482,504,1034,1066",186461,196,97,"20,62,104,142,306,330,392,416,514,564","60.4465,111.496,286.62,265.874,1275.89,892.094,140.1,792.943,2.92373,9.01594"
2,214,75,15732.8,0,"1114","220,320,380,476,528,572,622,626",176433,196,63,"70,116,125,300,386,406,502,538,576,608","186.93,223.343,544.11,87.0144,624.418,1160.12,66.5325,447.553,96.1463,0.140498"
