Year, NodeId, Gender, MeetsTargetingConfig_1, HasHIV, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Num_TRANSITORY,Num_INFORMAL,Num_MARITAL,Num_COMMERCIAL,Num_Concordant_TRANSITORY,Num_Concordant_INFORMAL,Num_Concordant_MARITAL,Num_Concordant_COMMERCIAL
1990.82,1,0,0,1,219,219,0,0,2,2,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.82,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.82,1,0,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.82,1,1,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,57,0
1990.82,1,1,0,1,208,208,1,0,4,4,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.82,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.82,1,1,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.86,1,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0
1990.86,1,0,0,1,218,218,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.86,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.86,1,0,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.86,1,1,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0
1990.86,1,1,0,1,204,204,0,0,4,4,0,0,0,0,0,0,0,18,0,0,0,18,0
1990.86,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.86,1,1,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.9,1,0,0,0,606,0,0,0,1,0,0,0,0,0,0,0,0,64,0,0,0,64,0
1990.9,1,0,0,1,217,217,0,0,1,1,0,0,0,0,0,0,0,19,0,0,0,19,0
1990.9,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.9,1,0,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.9,1,1,0,0,547,0,0,0,2,0,0,0,0,0,0,0,0,64,0,0,0,64,0
1990.9,1,1,0,1,204,204,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0
1990.9,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.9,1,1,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.95,1,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,65,0
1990.95,1,0,0,1,215,215,0,0,2,2,0,0,0,0,0,0,0,19,0,0,0,19,0
1990.95,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1990.95,1,0,1,1,14,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.95,1,1,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,65,0
1990.95,1,1,0,1,201,201,0,0,2,2,0,0,0,0,0,0,0,19,0,0,0,19,0
1990.95,1,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1990.95,1,1,1,1,17,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1990.99,1,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,67,0
1990.99,1,0,0,1,215,215,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0
1990.99,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1990.99,1,0,1,1,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
1990.99,1,1,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,67,0
1990.99,1,1,0,1,202,202,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0
1990.99,1,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
1990.99,1,1,1,1,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
1991.03,1,0,0,0,604,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,72,0
1991.03,1,0,0,1,210,210,0,0,1,1,0,0,0,0,0,0,0,21,0,0,0,21,0
1991.03,1,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1991.03,1,0,1,1,19,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
1991.03,1,1,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,72,0
1991.03,1,1,0,1,199,199,0,0,3,2,0,0,0,0,0,0,0,21,0,0,0,21,0
1991.03,1,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
1991.03,1,1,1,1,17,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
1991.07,1,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,76,0
1991.07,1,0,0,1,204,204,0,0,4,4,0,0,0,0,0,0,0,21,0,0,0,21,0
1991.07,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
1991.07,1,0,1,1,21,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
1991.07,1,1,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,76,0
1991.07,1,1,0,1,195,195,1,0,3,2,0,0,0,0,0,0,0,21,0,0,0,21,0
1991.07,1,1,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
1991.07,1,1,1,1,18,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
1991.11,1,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,78,0
1991.11,1,0,0,1,202,202,0,0,1,1,0,0,0,0,0,0,0,22,0,0,0,22,0
1991.11,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
1991.11,1,0,1,1,22,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
1991.11,1,1,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,78,0
1991.11,1,1,0,1,194,194,0,0,1,1,0,0,0,0,0,0,0,22,0,0,0,22,0
1991.11,1,1,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
1991.11,1,1,1,1,18,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
1991.15,1,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,82,0
1991.15,1,0,0,1,199,199,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0
1991.15,1,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
1991.15,1,0,1,1,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1991.15,1,1,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,82,0
1991.15,1,1,0,1,193,193,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0
1991.15,1,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1991.15,1,1,1,1,19,19,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
1991.19,1,0,0,0,599,0,0,0,2,0,0,0,0,0,0,0,0,83,0,0,0,83,0
1991.19,1,0,0,1,198,198,0,0,1,1,0,0,0,0,0,0,0,22,0,0,0,22,0
1991.19,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1991.19,1,0,1,1,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1991.19,1,1,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,83,0
1991.19,1,1,0,1,192,192,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,22,0
1991.19,1,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1991.19,1,1,1,1,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1991.23,1,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,89,0
1991.23,1,0,0,1,195,195,0,0,3,3,0,0,0,0,0,0,0,23,0,0,0,23,0
1991.23,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1991.23,1,0,1,1,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1991.23,1,1,0,0,534,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,89,0
1991.23,1,1,0,1,192,192,1,0,1,1,0,0,0,0,0,0,0,23,0,0,0,23,0
1991.23,1,1,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1991.23,1,1,1,1,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1991.27,1,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,90,0
1991.27,1,0,0,1,193,193,0,0,1,1,0,0,0,0,0,0,0,23,0,0,0,23,0
1991.27,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
1991.27,1,0,1,1,26,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
1991.27,1,1,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,90,0
1991.27,1,1,0,1,190,190,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0
1991.27,1,1,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
1991.27,1,1,1,1,22,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
1991.32,1,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,90,0
1991.32,1,0,0,1,192,192,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0
1991.32,1,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
1991.32,1,0,1,1,27,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
1991.32,1,1,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,90,0
