Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
40,1,Other,42625,3848,1017192,1029420,5972,9.84377
41,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
41,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
41,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
41,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
41,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
41,1,Other,38164,3075,1019921,772560,5523,10.7036
42,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
42,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
42,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
42,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
42,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
42,1,Other,33869,2327,1021331,720020,5205,11.2774
43,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
43,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
43,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
43,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
43,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
43,1,Other,29936,1760,1023064,719180,4574,11.9915
44,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
44,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
44,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
44,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
44,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
44,1,Other,26281,170875,855662,521820,4115,12.5937
45,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
45,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
45,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
45,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
